Time(ms),Altitude(m),Temperature(C),Pressure(hPa),Acceleration(ms/2),Velocity(ms/-1),Accelerometer_Coordinates,Gyroscope_Coordinates
2356,0.21,15.15,973.69,-0.04,0.00,0.20/-1.00/0.07,-3.08/-9.34/-0.79
5978,-0.14,15.18,973.73,-0.03,-0.07,0.14/-0.97/-0.19,-0.80/-3.27/-1.81
9598,-0.30,15.24,973.75,0.02,-0.10,-0.08/-1.03/0.27,-45.29/64.00/50.62
13218,-4.11,15.33,974.19,-0.00,-0.16,0.01/-0.93/0.29,-10.34/-64.00/16.65
16838,-3.24,15.45,974.09,0.02,-0.06,0.12/-0.91/0.21,5.57/54.38/-13.55
20458,-2.63,15.63,974.02,0.04,0.08,0.01/-0.92/0.17,4.87/-2.74/1.51
24079,-2.11,15.81,973.96,-0.03,-0.03,0.01/-0.93/0.11,4.95/2.51/-2.61
27699,-1.72,15.98,973.91,-0.03,-0.12,-0.00/-0.92/0.20,5.37/-1.06/1.37
31319,-1.46,16.15,973.88,-0.03,-0.24,-0.04/-0.93/0.08,4.49/13.05/-4.83
34939,-1.31,16.34,973.86,-0.03,-0.30,-0.01/-0.91/0.29,3.08/-5.95/0.06
38559,-1.16,16.50,973.85,-0.01,-0.34,-0.04/-0.93/0.16,5.63/1.38/-2.19
42179,-1.05,16.64,973.83,-0.03,-0.41,0.02/-0.92/0.20,0.83/2.40/-1.60
45798,-0.99,16.78,973.83,-0.02,-0.47,-0.03/-0.92/0.19,2.42/-3.48/0.52
49466,-0.88,16.94,973.82,-0.01,-0.49,-0.04/-0.92/0.24,1.13/4.29/-0.40
53086,-0.87,17.07,973.81,-0.00,-0.51,-0.02/-0.93/0.15,5.50/-0.80/1.60
56706,1.35,17.19,973.56,0.90,2.65,-0.02/0.05/0.02,30.49/-39.39/-14.34
60325,15.21,17.31,971.96,-3.45,0.25,0.26/1.91/0.16,-64.00/4.96/49.11
63944,18.84,17.43,971.54,-1.06,-3.20,-0.25/0.98/0.06,-31.93/64.00/43.46
67563,15.24,17.54,971.96,-1.69,-8.07,-0.08/-0.14/-0.98,3.23/0.14/0.02
71182,9.77,17.64,972.59,-1.19,-12.16,-0.08/-0.14/-0.98,3.71/0.17/-0.32
74803,5.46,17.75,973.08,-0.78,-14.79,-0.08/-0.14/-0.98,3.65/0.10/-0.25
78423,3.12,17.85,973.35,-0.51,-16.44,-0.08/-0.14/-0.98,3.48/-0.10/-0.19
82043,1.55,17.94,973.53,-0.20,-17.00,-0.78/-0.67/0.25,-37.50/-26.51/21.11
85662,0.62,18.03,973.64,-0.13,-17.44,-0.53/-0.71/0.31,-23.74/-8.90/11.26
89281,0.20,18.13,973.69,0.31,-16.77,-0.36/-0.31/0.68,-22.96/22.92/-64.00
92900,-0.01,18.21,973.71,0.43,-15.65,-0.57/-0.67/0.73,64.00/-39.07/-51.87
96520,-0.12,18.29,973.73,0.01,-15.25,-0.28/-0.73/0.43,-27.10/-15.43/-13.05
100141,-0.15,18.37,973.73,0.22,-14.47,-0.11/-0.82/0.49,-4.65/31.50/26.02
